公司名稱,統編
美時化學製藥股份有限公司,11456110
台灣玻璃工業股份有限公司,11914002
寶徠建設股份有限公司,12179563
冠軍建材股份有限公司,49701774
潤隆建設股份有限公司,34149369
中國製釉股份有限公司,47056834
和成欣業股份有限公司,03228304
凱撒衛浴股份有限公司,22746550
士林紙業股份有限公司,11038101
正隆股份有限公司,33085508
中華紙漿股份有限公司,94025264
寶隆國際股份有限公司,12030606
永豐餘投資控股股份有限公司,85066002
榮成紙業股份有限公司,34202841
中國鋼鐵股份有限公司,30414175
東和鋼鐵企業股份有限公司,75280209
燁興企業股份有限公司,75992214
高興昌鋼鐵股份有限公司,75466009
第一伸銅科技股份有限公司,82001528
春源鋼鐵工業股份有限公司,11529802
春雨工廠股份有限公司,88187108
中國鋼鐵結構股份有限公司,85800192
中鴻鋼鐵股份有限公司,07838854
豐興鋼鐵股份有限公司,55389357
官田鋼鐵股份有限公司,72065240
美亞鋼管廠股份有限公司,44680700
聚亨企業股份有限公司,79841479
燁輝企業股份有限公司,75947936
志聯工業股份有限公司,43633504
千興不銹鋼(股)公司,70005915
大成不銹鋼工業股份有限公司,22318348
威致鋼鐵工業股份有限公司,69771636
盛餘股份有限公司,79837539
彰源企業股份有限公司,60330130
新光鋼鐵股份有限公司,35836625
新鋼工業股份有限公司,34008635
佳大世界股份有限公司,72072615
允強實業股份有限公司,59068700
海光企業股份有限公司,75470524
上銀科技股份有限公司,23503047
川湖科技股份有限公司,22274989
橋椿金屬股份有限公司,59353423
運錩鋼鐵股份有限公司,22533297
南港輪胎股份有限公司,11520909
泰豐輪胎股份有限公司,44721408
台橡股份有限公司,03553737
國際中橡投資控股股份有限公司,04382114
正新橡膠工業股份有限公司,59504506
建大工業股份有限公司,59619900
厚生股份有限公司,03283306
南帝化學工業股份有限公司,12209807
華豐橡膠工業股份有限公司,59760104
鑫永銓股份有限公司,51704734
六暉控股股份有限公司,54982599
裕隆汽車製造股份有限公司,03489200
中華汽車工業股份有限公司,03098415
三陽工業股份有限公司,24004006
和泰汽車股份有限公司,03251108
台灣國際造船股份有限公司,04695235
長榮鋼鐵股份有限公司,81188829
裕隆日產汽車股份有限公司,80032530
劍麟股份有限公司,04359789
為升電裝工業股份有限公司,23219346
宇隆科技股份有限公司,22702791
百達精密工業股份有限公司,
開曼英利工業股份有限公司,
艾姆勒科技股份有限公司,53418357
宏旭控股股份有限公司,55996613
汎德永業汽車股份有限公司,20838245
華勝汽車電子股份有限公司,42943050
第一化成控股(開曼)股份有限公司,
巨鎧精密工業股份有限公司,54297090
鴻華先進科技股份有限公司,83167722
光寶科技股份有限公司,23357403
麗正國際科技股份有限公司,04982433
聯華電子股份有限公司,47217677
全友電腦股份有限公司,47226140
台達電子工業股份有限公司,34051920
金寶電子工業股份有限公司,04370927
華通電腦股份有限公司,04401392
台揚科技股份有限公司,47255762
楠梓電子股份有限公司,76026851
鴻海精密工業股份有限公司,04541302
東訊股份有限公司,47224065
中環股份有限公司,12205020
仁寶電腦工業股份有限公司,21222725
國巨股份有限公司,22636630
廣宇科技股份有限公司,03546618
華泰電子股份有限公司,89004161
台灣積體電路製造股份有限公司,22099131
精英電腦股份有限公司,22449566
友訊科技股份有限公司,22099189
旺宏電子股份有限公司,22099548
台灣光罩股份有限公司,22099408
台亞半導體股份有限公司,47255947
台灣茂矽電子股份有限公司,22099110
華邦電子股份有限公司,22099218
智邦科技股份有限公司,22099287
聯強國際股份有限公司,23060541
海悅國際開發股份有限公司,22624873
錸德科技股份有限公司,23218873
順德工業股份有限公司,58506816
佳世達科技股份有限公司,12490306
宏碁股份有限公司,20828393
鴻準精密工業股份有限公司,23707801
敬鵬工業股份有限公司,43816068
英業達股份有限公司,04322046
華碩電腦股份有限公司,23638777
所羅門股份有限公司,23640801
致茂電子股份有限公司,09461025
藍天電腦股份有限公司,09424319
矽統科技股份有限公司,22099202
倫飛電腦實業股份有限公司,79883646
昆盈企業股份有限公司,05141520
燿華電子股份有限公司,05637971
金像電子(股)公司,30955404
菱生精密工業股份有限公司,55625676
大同股份有限公司,11026506
震旦行股份有限公司,03568400
佳能企業股份有限公司,11394902
凱美電機股份有限公司,34230543
技嘉科技股份有限公司,22044755
微星科技股份有限公司,22178368
瑞昱半導體股份有限公司,22671299
虹光精密工業股份有限公司,22099759
廣達電腦股份有限公司,22822281
台光電子材料股份有限公司,86521351
群光電子股份有限公司,20954200
精元電腦股份有限公司,86244265
威盛電子股份有限公司,86870786
云辰電子開發股份有限公司,34412092
正崴精密工業股份有限公司,22223510
億光電子工業股份有限公司,34516147
研華股份有限公司,05155853
友通資訊股份有限公司,30950652
映泰股份有限公司,23826200
凌陽科技股份有限公司,23821182
毅嘉科技股份有限公司,23588039
漢唐集成股份有限公司,20938096
輔信科技股份有限公司,20980880
國碩科技工業股份有限公司,97178376
南亞科技股份有限公司,89390656
友達光電股份有限公司,84149738
中華電信股份有限公司,96979933
環隆科技股份有限公司,52878846
精技電腦股份有限公司,12215548
錩新科技股份有限公司,44913118
圓剛科技股份有限公司,23611974
仲琦科技股份有限公司,22029190
新巨企業股份有限公司,20970807
建準電機工業股份有限公司,81448796
固緯電子實業股份有限公司,04735004
隴華電子股份有限公司,04926876
承啟科技股份有限公司,22332192
鼎元光電科技股份有限公司,22434156
三商電腦股份有限公司,31275691
興勤電子工業股份有限公司,83639504
銘旺科技股份有限公司,12206203
燦坤實業股份有限公司,69568009
聯昌電子企業股份有限公司,35568331
倚天酷碁股份有限公司,22089345
互盛股份有限公司,12516241
統懋半導體股份有限公司,22404266
偉詮電子股份有限公司,22099499
翔耀實業股份有限公司,12364770
美律實業股份有限公司,52375605
太空梭高傳真資訊科技(股)公司,01887370
超豐電子股份有限公司,05126366
新美齊股份有限公司,22006274
兆勁科技股份有限公司,89549446
京元電子股份有限公司,22507241
神腦國際企業股份有限公司,12228473
創見資訊股份有限公司,23446187
凌群電腦股份有限公司,04967550
聯發科技股份有限公司,80540330
全新光電科技股份有限公司,97170472
飛宏科技股份有限公司,30435973
義隆電子股份有限公司,84149224
敦吉科技股份有限公司,20863763
建通精密工業股份有限公司,84433564
光群雷射科技股份有限公司,22099322
台灣良得電子股份有限公司,04877657
盟立自動化股份有限公司,22099478
麗臺科技股份有限公司,22325002
冠西電子企業股份有限公司,34348590
志聖工業股份有限公司,07618057
華經資訊企業股份有限公司,12115702
資通電腦股份有限公司,20873360
立隆電子工業股份有限公司,52358985
可成科技股份有限公司,69905810
鉅祥企業股份有限公司,04403568
美隆工業股份有限公司,33750329
大毅科技股份有限公司,23534301
敦陽科技股份有限公司,84218848
強茂股份有限公司,22145016
連宇股份有限公司,38430938
百容電子股份有限公司,52753108
希華晶體科技股份有限公司,22771229
兆赫電子股份有限公司,12320400
一詮精密工業股份有限公司,35866232
漢平電子工業股份有限公司,68889236
瑞軒科技股份有限公司,84929896
吉祥全球實業股份有限公司,89380545
華新科技股份有限公司,19004316
揚博科技股份有限公司,30929883
普安科技股份有限公司,84166074
卓越成功股份有限公司,22099786
怡利電子工業股份有限公司,59334664
宏達國際電子股份有限公司,16003518
國泰建設股份有限公司,03374306
國產建材實業股份有限公司,24060203
國揚實業股份有限公司,11603817
太平洋建設股份有限公司,11099009
全坤建設開發股份有限公司,04921056
太子建設開發股份有限公司,72058206
龍邦國際興業股份有限公司,22817273
中華工程股份有限公司,75094900
新亞建設開發股份有限公司,11762504
冠德建設股份有限公司,30900892
京城建設股份有限公司,06667446
宏璟建設股份有限公司,22344508
皇普建設股份有限公司,81271967
大華建設股份有限公司,11059409
宏盛建設股份有限公司,22221180
